model,family,config,dataset,machine,est_minutes,source,checkpoint_mtime_utc,caveat
dpsgd_clip5.0_nm1.0.pth,DP-SGD,"clip=5.0, nm=1.0",CARLA,WS-PBWS1004508,564.97,mtime-delta,2026-07-10T02:40:01.914634+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
dpsgd_clip5.0_nm2.0.pth,DP-SGD,"clip=5.0, nm=2.0",CARLA,WS-PBWS1004508,662.82,mtime-delta,2026-07-10T13:42:50.934966+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
personalized.pth,Personalized,,CARLA,WS-PBWS1004508,257.75,mtime-delta,2026-07-10T18:00:36.104426+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
input_sigma0.6.pth,Input,σ=0.6,CARLA,WS-PBWS1004508,,none,2026-07-18T12:24:07.318258+00:00,"gap to previous checkpoint is 186.4 h (> 24 h) — a separate training session, so the delta measures idle calendar time, not training; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
input_sigma1.0.pth,Input,σ=1.0,CARLA,WS-PBWS1004508,17.17,mtime-delta,2026-07-18T12:41:17.730896+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
input_sigma2.0.pth,Input,σ=2.0,CARLA,WS-PBWS1004508,20.53,mtime-delta,2026-07-18T13:01:49.269314+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
baseline.pth,Baseline,,Kaggle,WS-PBWS1004508,,none,2026-07-10T12:02:56.783737+00:00,"first checkpoint in the sweep — no preceding mtime to difference against, so no estimate is available; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
input_sigma0.01.pth,Input,σ=0.01,Kaggle,WS-PBWS1004508,0.01,mtime-delta,2026-07-10T12:02:57.453346+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
input_sigma0.05.pth,Input,σ=0.05,Kaggle,WS-PBWS1004508,0.01,mtime-delta,2026-07-10T12:02:58.109519+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
input_sigma0.1.pth,Input,σ=0.1,Kaggle,WS-PBWS1004508,0.01,mtime-delta,2026-07-10T12:02:58.827520+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
input_sigma0.3.pth,Input,σ=0.3,Kaggle,WS-PBWS1004508,0.01,mtime-delta,2026-07-10T12:02:59.432402+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
input_sigmaper-feature.pth,Input,σ=per-feature,Kaggle,WS-PBWS1004508,0.01,mtime-delta,2026-07-10T12:03:00.072805+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
dpsgd_clip0.5_nm1.0.pth,DP-SGD,"clip=0.5, nm=1.0",Kaggle,WS-PBWS1004508,0.19,mtime-delta,2026-07-10T12:03:11.445665+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
dpsgd_clip0.5_nm2.0.pth,DP-SGD,"clip=0.5, nm=2.0",Kaggle,WS-PBWS1004508,0.12,mtime-delta,2026-07-10T12:03:18.738159+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
dpsgd_clip1.0_nm1.0.pth,DP-SGD,"clip=1.0, nm=1.0",Kaggle,WS-PBWS1004508,0.18,mtime-delta,2026-07-10T12:03:29.739284+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
dpsgd_clip1.0_nm2.0.pth,DP-SGD,"clip=1.0, nm=2.0",Kaggle,WS-PBWS1004508,0.12,mtime-delta,2026-07-10T12:03:36.973174+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
dpsgd_clip5.0_nm1.0.pth,DP-SGD,"clip=5.0, nm=1.0",Kaggle,WS-PBWS1004508,0.18,mtime-delta,2026-07-10T12:03:47.998353+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
dpsgd_clip5.0_nm2.0.pth,DP-SGD,"clip=5.0, nm=2.0",Kaggle,WS-PBWS1004508,0.13,mtime-delta,2026-07-10T12:03:55.509403+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
